"Half","Time","Description","Time_in_sec","Event","Token","Player","UVA_score","Opp_score","Possession","Opps","Possession Number"
1,"8:36","MJ Rice makes two point putback layup",516,"Made Two","makes","MJ Rice",15,13,"Cavs","vsNCST",36
1,"8:36","D.J. Burns Jr. shooting foul (Reece Beekman draws the foul)",516,"Foul","shooting foul","D.J. Burns Jr.",15,13,"Cavs","vsNCST",36
1,"8:36","Reece Beekman makes regular free throw 1 of 2",516,"Made FT","makes","Reece Beekman",16,13,"Cavs","vsNCST",36
1,"8:36","Wolfpack lineup change (Jayden Taylor, DJ Horne, Dennis Parker Jr., Casey Morsell, D.J. Burns Jr.)",516,"Opp Sub"," ","Wolfpack",16,13,"Cavs","vsNCST",36
1,"8:36","Cavaliers lineup change (Blake Buchanan, Reece Beekman, Andrew Rohde, Taine Murray, Ryan Dunn)",516,"Cav Sub"," ","Cavaliers",16,13,"Cavs","vsNCST",36
1,"8:36","Reece Beekman makes regular free throw 2 of 2",516,"Made FT","makes","Reece Beekman",17,13,"Opp","vsNCST",37
1,"8:16","Cavaliers lineup change (Blake Buchanan, Isaac McKneely, Andrew Rohde, Taine Murray, Ryan Dunn)",496,"Cav Sub"," ","Cavaliers",17,13,"Opp","vsNCST",37
1,"8:16","D.J. Burns Jr. makes two point layup",496,"Made Two","makes","D.J. Burns Jr.",17,15,"Opp","vsNCST",37
1,"8:16","Blake Buchanan shooting foul (D.J. Burns Jr. draws the foul)",496,"Foul","shooting foul","Blake Buchanan",17,15,"Opp","vsNCST",37
1,"8:16","D.J. Burns Jr. misses regular free throw 1 of 1",496,"Missed FT","misses","D.J. Burns Jr.",17,15,"Opp","vsNCST",37
1,"7:54","Taine Murray defensive rebound",474,"Def Rebound","defensive rebound","Taine Murray",17,15,"Cavs","vsNCST",38
1,"7:22","Ryan Dunn makes two point layup (Andrew Rohde assists)",442,"Made Two","makes","Ryan Dunn",19,15,"Opp","vsNCST",39
1,"7:22","TV timeout",442,""," ","TV",19,15,"Opp","vsNCST",39
1,"7:21","Cavaliers lineup change (Blake Buchanan, Andrew Rohde, Reece Beekman, Isaac McKneely, Ryan Dunn)",441,"Cav Sub"," ","Cavaliers",19,15,"Opp","vsNCST",39
1,"6:58","Dennis Parker Jr. makes three point jump shot (Casey Morsell assists)",418,"Made Three","makes","Dennis Parker Jr.",19,18,"Cavs","vsNCST",40
1,"6:41","Andrew Rohde turnover (bad pass)",401,"Turnover","turnover","Andrew Rohde",19,18,"Opp","vsNCST",41
1,"6:07","DJ Horne makes two point pullup jump shot",367,"Made Two","makes","DJ Horne",19,20,"Cavs","vsNCST",42
1,"6:05","Isaac McKneely misses two point jump shot",365,"Missed Two","misses","Isaac McKneely",19,20,"Cavs","vsNCST",42
1,"5:56","Dennis Parker Jr. defensive rebound",356,"Def Rebound","defensive rebound","Dennis Parker Jr.",19,20,"Opp","vsNCST",43
1,"5:54","DJ Horne misses three point jump shot",354,"Missed Three","misses","DJ Horne",19,20,"Opp","vsNCST",43
1,"5:39","Isaac McKneely defensive rebound",339,"Def Rebound","defensive rebound","Isaac McKneely",19,20,"Cavs","vsNCST",44
1,"5:21","Andrew Rohde makes two point jump shot (Reece Beekman assists)",321,"Made Two","makes","Andrew Rohde",21,20,"Opp","vsNCST",45
1,"5:19","Casey Morsell misses three point jump shot",319,"Missed Three","misses","Casey Morsell",21,20,"Opp","vsNCST",45
1,"5:03","Blake Buchanan defensive rebound",303,"Def Rebound","defensive rebound","Blake Buchanan",21,20,"Cavs","vsNCST",46
1,"5:01","Andrew Rohde misses three point jump shot",301,"Missed Three","misses","Andrew Rohde",21,20,"Cavs","vsNCST",46
1,"4:49","Jayden Taylor defensive rebound",289,"Def Rebound","defensive rebound","Jayden Taylor",21,20,"Opp","vsNCST",47
1,"4:44","Dennis Parker Jr. turnover (bad pass) (Isaac McKneely steals)",284,"Turnover","turnover","Dennis Parker Jr.",21,20,"Cavs","vsNCST",48
1,"4:38","Reece Beekman turnover (bad pass) (Dennis Parker Jr. steals)",278,"Turnover","turnover","Reece Beekman",21,20,"Opp","vsNCST",49
1,"4:35","Dennis Parker Jr. turnover (lost ball) (Reece Beekman steals)",275,"Turnover","turnover","Dennis Parker Jr.",21,20,"Cavs","vsNCST",50
1,"4:29","Reece Beekman misses two point layup",269,"Missed Two","misses","Reece Beekman",21,20,"Cavs","vsNCST",50
1,"4:29","DJ Horne defensive rebound",269,"Def Rebound","defensive rebound","DJ Horne",21,20,"Opp","vsNCST",51
1,"4:29","Casey Morsell makes three point jump shot (DJ Horne assists)",269,"Made Three","makes","Casey Morsell",21,23,"Cavs","vsNCST",52
1,"4:29","Cavaliers 30 second timeout",269,"Timeout","second timeout","Cavaliers 30",21,23,"Cavs","vsNCST",52
1,"4:29","TV timeout",269,""," ","TV",21,23,"Cavs","vsNCST",52
1,"4:29","Cavaliers lineup change (Jacob Groves, Reece Beekman, Andrew Rohde, Isaac McKneely, Ryan Dunn)",269,"Cav Sub"," ","Cavaliers",21,23,"Cavs","vsNCST",52
1,"3:58","Wolfpack lineup change (DJ Horne, Michael O'Connell, Dennis Parker Jr., Casey Morsell, Ben Middlebrooks)",238,"Opp Sub"," ","Wolfpack",21,23,"Cavs","vsNCST",52
1,"3:56","Jacob Groves misses three point jump shot",236,"Missed Three","misses","Jacob Groves",21,23,"Cavs","vsNCST",52
1,"3:34","DJ Horne defensive rebound",214,"Def Rebound","defensive rebound","DJ Horne",21,23,"Opp","vsNCST",53
1,"3:32","DJ Horne misses three point jump shot",212,"Missed Three","misses","DJ Horne",21,23,"Opp","vsNCST",53
1,"3:11","Isaac McKneely defensive rebound",191,"Def Rebound","defensive rebound","Isaac McKneely",21,23,"Cavs","vsNCST",54
1,"3:09","Jacob Groves misses two point cutting layup",189,"Missed Two","misses","Jacob Groves",21,23,"Cavs","vsNCST",54
1,"2:59","DJ Horne defensive rebound",179,"Def Rebound","defensive rebound","DJ Horne",21,23,"Opp","vsNCST",55
1,"2:31","Dennis Parker Jr. makes three point jump shot (Michael O'Connell assists)",151,"Made Three","makes","Dennis Parker Jr.",21,26,"Cavs","vsNCST",56
1,"2:29","Ryan Dunn misses three point jump shot",149,"Missed Three","misses","Ryan Dunn",21,26,"Cavs","vsNCST",56
1,"2:22","Ben Middlebrooks defensive rebound",142,"Def Rebound","defensive rebound","Ben Middlebrooks",21,26,"Opp","vsNCST",57
1,"2:20","Dennis Parker Jr. misses three point jump shot",140,"Missed Three","misses","Dennis Parker Jr.",21,26,"Opp","vsNCST",57
1,"2:18","Ben Middlebrooks offensive rebound",138,"Off Rebound","offensive rebound","Ben Middlebrooks",21,26,"Opp","vsNCST",57
1,"2:03","Ben Middlebrooks makes two point layup",123,"Made Two","makes","Ben Middlebrooks",21,28,"Cavs","vsNCST",58
1,"1:55","Cavaliers lineup change (Reece Beekman, Andrew Rohde, Isaac McKneely, Ryan Dunn, Blake Buchanan)",115,"Cav Sub"," ","Cavaliers",21,28,"Cavs","vsNCST",58
1,"1:35","Blake Buchanan makes two point layup (Reece Beekman assists)",95,"Made Two","makes","Blake Buchanan",23,28,"Opp","vsNCST",59
1,"1:10","Ben Middlebrooks makes two point layup",70,"Made Two","makes","Ben Middlebrooks",23,30,"Cavs","vsNCST",60
1,"1:10","Ben Middlebrooks shooting foul (Ryan Dunn draws the foul)",70,"Foul","shooting foul","Ben Middlebrooks",23,30,"Cavs","vsNCST",60
1,"1:10","Ryan Dunn misses regular free throw 1 of 2",70,"Missed FT","misses","Ryan Dunn",23,30,"Cavs","vsNCST",60
1,"0:55","Ryan Dunn makes regular free throw 2 of 2",55,"Made FT","makes","Ryan Dunn",24,30,"Opp","vsNCST",61
1,"0:40","Ben Middlebrooks makes two point layup (Michael O'Connell assists)",40,"Made Two","makes","Ben Middlebrooks",24,32,"Cavs","vsNCST",62
1,"0:40","Ben Middlebrooks shooting foul (Reece Beekman draws the foul)",40,"Foul","shooting foul","Ben Middlebrooks",24,32,"Cavs","vsNCST",62
1,"0:40","Reece Beekman makes regular free throw 1 of 2",40,"Made FT","makes","Reece Beekman",25,32,"Cavs","vsNCST",62
1,"0:40","Wolfpack lineup change (DJ Horne, Dennis Parker Jr., Michael O'Connell, Casey Morsell, D.J. Burns Jr.)",40,"Opp Sub"," ","Wolfpack",25,32,"Cavs","vsNCST",62
