"Half","Time","Description","Time_in_sec","Event","Token","Player","UVA_score","Opp_score","Possession","Opps","Possession Number"
1,"7:14","Tigers lineup change (Jayhlon Young, Nicholas Jourdain, Jaykwon Walton, Jahvon Quinerly, Jayden Hardaway)",434,"Opp Sub"," ","Tigers",20,27,"Opp","vsMEM",43
1,"7:14","Jayden Hardaway makes regular free throw 1 of 2",434,"Made FT","makes","Jayden Hardaway",20,28,"Opp","vsMEM",43
1,"6:44","Jayden Hardaway makes regular free throw 2 of 2",404,"Made FT","makes","Jayden Hardaway",20,29,"Cavs","vsMEM",44
1,"6:24","Jacob Groves makes two point jump shot (Isaac McKneely assists)",384,"Made Two","makes","Jacob Groves",22,29,"Opp","vsMEM",45
1,"6:22","Ryan Dunn blocks Jayhlon Young's two point layup",382,"Block","block","Ryan Dunn",22,29,"Opp","vsMEM",45
1,"6:05","Ryan Dunn defensive rebound",365,"Def Rebound","defensive rebound","Ryan Dunn",22,29,"Cavs","vsMEM",46
1,"6:03","Ryan Dunn misses two point layup",363,"Missed Two","misses","Ryan Dunn",22,29,"Cavs","vsMEM",46
1,"5:49","Jaykwon Walton defensive rebound",349,"Def Rebound","defensive rebound","Jaykwon Walton",22,29,"Opp","vsMEM",47
1,"5:47","Jaykwon Walton misses two point layup",347,"Missed Two","misses","Jaykwon Walton",22,29,"Opp","vsMEM",47
1,"5:40","Ryan Dunn defensive rebound",340,"Def Rebound","defensive rebound","Ryan Dunn",22,29,"Cavs","vsMEM",48
1,"5:23","Reece Beekman makes two point layup",323,"Made Two","makes","Reece Beekman",24,29,"Opp","vsMEM",49
1,"5:21","Jayden Hardaway misses three point jump shot",321,"Missed Three","misses","Jayden Hardaway",24,29,"Opp","vsMEM",49
1,"5:12","Reece Beekman defensive rebound",312,"Def Rebound","defensive rebound","Reece Beekman",24,29,"Cavs","vsMEM",50
1,"5:10","Isaac McKneely misses three point jump shot",310,"Missed Three","misses","Isaac McKneely",24,29,"Cavs","vsMEM",50
1,"4:51","Nicholas Jourdain defensive rebound",291,"Def Rebound","defensive rebound","Nicholas Jourdain",24,29,"Opp","vsMEM",51
1,"4:51","Jahvon Quinerly turnover (bad pass)",291,"Turnover","turnover","Jahvon Quinerly",24,29,"Cavs","vsMEM",52
1,"4:51","Cavaliers lineup change (Elijah Gertrude, Taine Murray, Isaac McKneely, Leon Bond III, Jacob Groves)",291,"Cav Sub"," ","Cavaliers",24,29,"Cavs","vsMEM",52
1,"4:24","Tigers lineup change (Malcolm Dandridge, Ashton Hardaway, Caleb Mills, Jaykwon Walton, Jahvon Quinerly)",264,"Opp Sub"," ","Tigers",24,29,"Cavs","vsMEM",52
1,"4:09","Jacob Groves makes two point layup (Taine Murray assists)",249,"Made Two","makes","Jacob Groves",26,29,"Opp","vsMEM",53
1,"4:00","Jacob Groves personal foul",240,"Foul","personal foul","Jacob Groves",26,29,"Opp","vsMEM",53
1,"3:58","Jahvon Quinerly misses three point jump shot",238,"Missed Three","misses","Jahvon Quinerly",26,29,"Opp","vsMEM",53
1,"3:37","Elijah Gertrude defensive rebound",217,"Def Rebound","defensive rebound","Elijah Gertrude",26,29,"Cavs","vsMEM",54
1,"3:37","Jahvon Quinerly shooting foul (Isaac McKneely draws the foul)",217,"Foul","shooting foul","Jahvon Quinerly",26,29,"Cavs","vsMEM",54
1,"3:37","TV timeout",217,""," ","TV",26,29,"Cavs","vsMEM",54
1,"3:37","Tigers lineup change (David Jones, Caleb Mills, Jaykwon Walton, Jahvon Quinerly, Malcolm Dandridge)",217,"Opp Sub"," ","Tigers",26,29,"Cavs","vsMEM",54
1,"3:37","Cavaliers lineup change (Taine Murray, Isaac McKneely, Reece Beekman, Jacob Groves, Leon Bond III)",217,"Cav Sub"," ","Cavaliers",26,29,"Cavs","vsMEM",54
1,"3:37","Isaac McKneely makes regular free throw 1 of 2",217,"Made FT","makes","Isaac McKneely",27,29,"Cavs","vsMEM",54
1,"3:13","Isaac McKneely makes regular free throw 2 of 2",193,"Made FT","makes","Isaac McKneely",28,29,"Opp","vsMEM",55
1,"3:11","David Jones misses two point jump shot",191,"Missed Two","misses","David Jones",28,29,"Opp","vsMEM",55
1,"3:06","Malcolm Dandridge offensive rebound",186,"Off Rebound","offensive rebound","Malcolm Dandridge",28,29,"Opp","vsMEM",55
