"Half","Time","Description","Time_in_sec","Event","Token","Player","UVA_score","Opp_score","Possession","Opps","Possession Number"
2,"6:58","Perry Smith Jr. blocks Jordan Minor's two point layup",418,"Block","block","Perry Smith Jr.",69,34,"Cavs","vsNCCU",100
2,"6:48","Keishon Porter defensive rebound",408,"Def Rebound","defensive rebound","Keishon Porter",69,34,"Opp","vsNCCU",101
2,"6:46","Guy Fauntleroy misses three point jump shot",406,"Missed Three","misses","Guy Fauntleroy",69,34,"Opp","vsNCCU",101
2,"6:31","Taine Murray defensive rebound",391,"Def Rebound","defensive rebound","Taine Murray",69,34,"Cavs","vsNCCU",102
2,"6:31","Guy Fauntleroy shooting foul (Leon Bond III draws the foul)",391,"Foul","shooting foul","Guy Fauntleroy",69,34,"Cavs","vsNCCU",102
2,"6:31","Leon Bond III misses regular free throw 1 of 2",391,"Missed FT","misses","Leon Bond III",69,34,"Cavs","vsNCCU",102
2,"6:15","Leon Bond III makes regular free throw 2 of 2",375,"Made FT","makes","Leon Bond III",70,34,"Opp","vsNCCU",103
2,"6:15","Jordan Minor shooting foul (Keishon Porter draws the foul)",375,"Foul","shooting foul","Jordan Minor",70,34,"Opp","vsNCCU",103
2,"6:15","Keishon Porter makes regular free throw 1 of 2",375,"Made FT","makes","Keishon Porter",70,35,"Opp","vsNCCU",103
2,"6:15","Keishon Porter misses regular free throw 2 of 2",375,"Missed FT","misses","Keishon Porter",70,35,"Opp","vsNCCU",103
2,"5:53","Blake Buchanan defensive rebound",353,"Def Rebound","defensive rebound","Blake Buchanan",70,35,"Cavs","vsNCCU",104
2,"5:39","Blake Buchanan makes two point dunk (Jordan Minor assists)",339,"Made Two","makes","Blake Buchanan",72,35,"Opp","vsNCCU",105
2,"5:37","Po'Boigh King misses two point jump shot",337,"Missed Two","misses","Po'Boigh King",72,35,"Opp","vsNCCU",105
2,"5:22","Taine Murray defensive rebound",322,"Def Rebound","defensive rebound","Taine Murray",72,35,"Cavs","vsNCCU",106
2,"4:49","Elijah Gertrude makes two point jump shot",289,"Made Two","makes","Elijah Gertrude",74,35,"Opp","vsNCCU",107
2,"4:49","Elijah Gertrude shooting foul (Guy Fauntleroy draws the foul)",289,"Foul","shooting foul","Elijah Gertrude",74,35,"Opp","vsNCCU",107
2,"4:49","Guy Fauntleroy makes regular free throw 1 of 3",289,"Made FT","makes","Guy Fauntleroy",74,36,"Opp","vsNCCU",107
2,"4:49","Guy Fauntleroy makes regular free throw 2 of 3",289,"Made FT","makes","Guy Fauntleroy",74,37,"Opp","vsNCCU",107
2,"4:30","Guy Fauntleroy makes regular free throw 3 of 3",270,"Made FT","makes","Guy Fauntleroy",74,38,"Cavs","vsNCCU",108
2,"4:28","Jordan Minor misses two point layup",268,"Missed Two","misses","Jordan Minor",74,38,"Cavs","vsNCCU",108
2,"4:19","Keishon Porter defensive rebound",259,"Def Rebound","defensive rebound","Keishon Porter",74,38,"Opp","vsNCCU",109
2,"3:58","Guy Fauntleroy makes three point jump shot",238,"Made Three","makes","Guy Fauntleroy",74,41,"Cavs","vsNCCU",110
2,"3:56","Elijah Gertrude misses three point jump shot",236,"Missed Three","misses","Elijah Gertrude",74,41,"Cavs","vsNCCU",110
2,"3:49","Kye Dickson defensive rebound",229,"Def Rebound","defensive rebound","Kye Dickson",74,41,"Opp","vsNCCU",111
2,"3:47","Josh Smith misses three point jump shot",227,"Missed Three","misses","Josh Smith",74,41,"Opp","vsNCCU",111
2,"3:24","Jordan Minor defensive rebound",204,"Def Rebound","defensive rebound","Jordan Minor",74,41,"Cavs","vsNCCU",112
2,"3:24","Kye Dickson shooting foul (Blake Buchanan draws the foul)",204,"Foul","shooting foul","Kye Dickson",74,41,"Cavs","vsNCCU",112
2,"3:24","TV timeout",204,""," ","TV",74,41,"Cavs","vsNCCU",112
2,"3:24","Blake Buchanan makes regular free throw 1 of 2",204,"Made FT","makes","Blake Buchanan",75,41,"Cavs","vsNCCU",112
2,"3:24","Blake Buchanan misses regular free throw 2 of 2",204,"Missed FT","misses","Blake Buchanan",75,41,"Cavs","vsNCCU",112
