"Lineup","On_court_time","Possessions","Pt_diff_perposs","Pt_diff_permin","poss_permin","efficiency","def_eff","Pts","Pts_against","Tnovers","FG_made","FG_att","Three_made","Three_att","Rebounds","Defensive_plays","Minutes"
"Dante Harris,Isaac McKneely,Jacob Groves,Leon Bond III,Reece Beekman",247,12,-0.166666666666667,-0.00809716599190283,2.91497975708502,1.21457489878543,0,5,7,1,2,4,0,0,3,0,4.12
"Dante Harris,Isaac McKneely,Jacob Groves,Leon Bond III,Ryan Dunn",263,11,0.272727272727273,0.0114068441064639,2.50950570342205,2.28136882129278,0,9,6,0,3,5,1,3,3,0,4.38
"Dante Harris,Isaac McKneely,Jacob Groves,Reece Beekman,Ryan Dunn",45,2,-0.5,-0.0222222222222222,2.66666666666667,2.66666666666667,1,1,2,0,0,0,0,0,0,1,0.75
"Dante Harris,Isaac McKneely,Jordan Minor,Leon Bond III,Reece Beekman",157,9,0.444444444444444,0.0254777070063694,3.43949044585987,4.20382165605096,0.666666666666667,6,2,0,1,2,0,0,3,3,2.62
"Dante Harris,Isaac McKneely,Jordan Minor,Leon Bond III,Taine Murray",28,3,0,0,6.42857142857143,2.14285714285714,0.666666666666667,0,0,1,0,0,0,0,1,1,0.47
"Dante Harris,Isaac McKneely,Jordan Minor,Ryan Dunn,Taine Murray",152,8,-0.125,-0.00657894736842105,3.15789473684211,1.57894736842105,0.25,3,4,1,1,2,0,0,2,1,2.53
"Dante Harris,Isaac McKneely,Leon Bond III,Reece Beekman,Ryan Dunn",12,1,2,0.166666666666667,5,10,0,2,0,0,1,1,0,0,0,0,0.2
"Dante Harris,Jacob Groves,Jordan Minor,Leon Bond III,Taine Murray",216,15,0.266666666666667,0.0185185185185185,4.16666666666667,4.16666666666667,0.533333333333333,10,6,3,3,5,0,0,6,4,3.6
"Dante Harris,Jacob Groves,Jordan Minor,Reece Beekman,Ryan Dunn",2,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.03
"Dante Harris,Jacob Groves,Jordan Minor,Ryan Dunn,Taine Murray",89,2,0,0,1.34831460674157,0,0,0,0,1,0,0,0,0,1,0,1.48
"Dante Harris,Jacob Groves,Leon Bond III,Reece Beekman,Ryan Dunn",52,3,-1,-0.0576923076923077,3.46153846153846,-1.15384615384615,0,0,3,0,0,1,0,0,0,0,0.87
"Dante Harris,Jacob Groves,Leon Bond III,Reece Beekman,Taine Murray",223,10,0.7,0.031390134529148,2.69058295964126,3.76681614349776,0.2,10,3,0,4,5,2,2,4,1,3.72
"Dante Harris,Jacob Groves,Leon Bond III,Ryan Dunn,Taine Murray",40,3,1,0.075,4.5,6,0.666666666666667,3,0,0,1,1,0,0,0,1,0.67
"Dante Harris,Jordan Minor,Leon Bond III,Reece Beekman,Ryan Dunn",91,4,-0.25,-0.010989010989011,2.63736263736264,1.31868131868132,0.5,2,3,0,1,2,0,1,0,1,1.52
"Dante Harris,Jordan Minor,Leon Bond III,Reece Beekman,Taine Murray",58,3,-0.333333333333333,-0.0172413793103448,3.10344827586207,0,0,0,1,0,0,1,0,1,1,0,0.97
"Isaac McKneely,Jacob Groves,Leon Bond III,Reece Beekman,Taine Murray",180,10,-0.4,-0.0222222222222222,3.33333333333333,0,0.2,2,6,1,1,5,0,2,2,1,3
"Isaac McKneely,Jordan Minor,Reece Beekman,Ryan Dunn,Taine Murray",68,3,0.666666666666667,0.0294117647058824,2.64705882352941,1.76470588235294,0,2,0,1,1,2,0,1,2,0,1.13
"Isaac McKneely,Leon Bond III,Reece Beekman,Ryan Dunn,Taine Murray",244,10,0.5,0.0204918032786885,2.45901639344262,2.45901639344262,0.4,7,2,0,3,6,1,4,4,2,4.07
"Jacob Groves,Leon Bond III,Reece Beekman,Ryan Dunn,Taine Murray",42,2,1.5,0.0714285714285714,2.85714285714286,5.71428571428571,0,3,0,0,1,1,0,0,1,0,0.7
